Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Shalom Health Recruitment Ltd,Domiciliary Support Service,,Londonest-uk Business &techinical Park,Yew Tree Avenue,Dagenham East,RM10 7FN,Barking and Dagenham,07305064270,info@shalomrecruit.co.uk,0,Shalom Health Recruitment Ltd,2,08543936,1,Pamela Awudi,,English,2025-08-19,SIN-00015564-TDGD,51.546127,0.166602
Augusta House,Care Home Service,Adults Without Nursing,Learning Disability Services,Augusta House,Ebbw Vale,NP23 8DN,Blaenau Gwent,01495305805,helen.beecham@blaenau-gwent.gov.uk,8,Blaenau Gwent County Borough Council Adults and Children's Services,3,,4,Sarah Savage,,English,2018-09-17,SIN-00009290-HBCJ,51.753585,-3.196105
Bedwellty Park Residential Home Limited,Care Home Service,Adults Without Nursing,Bedwellty Park Residential Home,Morgan Street,Tredegar,NP22 3NA,Blaenau Gwent,01495711788,bedwelltyparkcarehome@yahoo.com,13,Bedwellty Park Residential Home Limited,1,08046288,1,Darren Pomphrey,,English,2018-07-09,SIN-00008673-GBRD,51.770816,-3.244387
Bridge House,Care Home Service,Adults Without Nursing,Bridge House Residential Home,Beulah Place,Ebbw Vale,NP23 6ET,Blaenau Gwent,01495 306837,sarah.bromley@bridgehouse.wales,36,Brecon Care,2,02759041,1,Lisa Griffiths,,English,2018-07-11,SIN-00013155-KBPR,51.781815,-3.207984
Central Surgery Nursing Home Limited,Care Home Service,Adults With Nursing,Eden Hall,Church Street,Tredegar,NP22 3DX,Blaenau Gwent,07799452817,centralsurgergerynursing@yahoo.com,14,Central Surgery Nursing Home limited,1,11822397,1,Darren Pomphrey,,,2024-03-22,SIN-00014355-LKGC,51.77713,-3.24588
Chilton Place,Care Home Service,Adults Without Nursing,14 Alma Street,Brynmawr,Ebbw Vale,NP23 4DZ,Blaenau Gwent,01495313673,vickyjenkins@glaslyncarehomes.co.uk,24,Glaslyn Retirement Homes Limited,2,02113534,2,Ingrid James Wright,,English,2018-09-19,SIN-00009070-WRBJ,51.799932,-3.170645
Cwm Coed,Care Home Service,Adults Without Nursing,Cwm Coed,Cwm Road,Abertillery,NP13 2BG,Blaenau Gwent,01495244388,riverwoodhousingltd@yahoo.co.uk,4,Riverwood Housing Ltd,3,06525310,3,Rebecca Hemmings,,English,2018-07-09,SIN-00008786-QBXK,51.710528,-3.150606
Forest View,Care Home Service,Adults Without Nursing,Forest View,Roch Street,Abertillery,NP13 1HF,Blaenau Gwent,01495321980,riverwoodhousingltd@yahoo.co.uk,3,Riverwood Housing Ltd,3,06525310,1,Rebecca Hemmings,,English,2018-07-09,SIN-00008784-JLPY,51.734772,-3.127154
Innovative Support Services,Domiciliary Support Service,,The Innovation Centre,Festival Drive,Ebbw Vale,NP23 8XA,Blaenau Gwent,01492725029,scottmorgan@innovative-support.co.uk,0,Innovative support services Ltd,1,14582267,1,Scott Morgan,,English,2023-10-19,SIN-00013977-NYNJ,51.760111,-3.199016
Pen -Y- Bont Care Home,Care Home Service,Adults With Nursing,Victoria Street,,Abertillery,NP13 1PG,Blaenau Gwent,01495320444,lisa@caramgroup.co.uk,41,Brecon Care,2,02759041,2,Lisa Griffiths,,English,2018-07-11,SIN-00009011-CHSC,51.735458,-3.138133
Pride in Care ltd Glandovery house,Care Home Service,Adults Without Nursing,Glandovey House,Oliver Jones Crescent,Tredegar,NP22 3BJ,Blaenau Gwent,01495221666,nigel@prideincare.com,5,pride in care ltd,4,08251805,2,Nigel Hobbs,,English,2018-10-10,SIN-00013332-NNKF,51.77337,-3.250328
Red Rose Care Home,Care Home Service,Adults With Nursing,Red Rose Nursing Home,Park Road Victoria,Ebbw Vale,NP23 8UP,Blaenau Gwent,01495352559,banyancarehomes@hotmail.com,32,BANYAN CARE HOMES 2 LIMITED,1,13570649,1,Shahnawaz Seehootoorah,,English,2022-07-12,SIN-00013113-SWVV,51.76324,-3.204243
Serene Support Services Limited,Domiciliary Support Service,,Jesmond Dene,Park View,Tredegar,NP22 3NZ,Blaenau Gwent,07875487867,leah@serenesupportservicesltd.co.uk,0,Serene Support Services Limited,1,12940322,1,Leah Evans,,English,2021-08-31,SIN-00012441-VFLC,51.7695,-3.24896
The Rookery Care Centre,Care Home Service,Adults Without Nursing,The Rookery Residential Home,Queen Square,Ebbw Vale,NP23 6EF,Blaenau Gwent,01495302221,manager@rookerycare.co.uk,41,Rookery Care Ltd,1,12480004,1,Kevin Groombridge,,English,2020-09-22,SIN-00011840-NMPV,51.778677,-3.205291
Woffington House,Care Home Service,Adults Without Nursing,Forestgate Healthcare Ltd,Rear Earl Street,Tredegar,NP22 3QW,Blaenau Gwent,01495717667,Racheljoseph27@outlook.com,36,Forest Gate Healthcare Ltd,3,05921531,3,Ian Hutchinson,,English,2019-05-13,SIN-00010109-SMJV,51.773816,-3.248963
Bellwave House,Care Home Service,Adults Without Nursing,23 Mary Street,,Porthcawl,CF36 3YL,Bridgend,01656 773427,tracey.wyllis@serendipitycare.com,8,Serendipity Care and Support Ltd,2,07671995,1,Matthew Penpraze,,English,2018-10-04,SIN-00009850-CNPN,51.47723,-3.70547
Breakaway Short Stay Service,Care Home Service,Adults Without Nursing,14-16 Abbey Road,Kenfig Hill,Bridgend,CF33 6HF,Bridgend,01656743295,rebecca.pratt@bridgend.gov.uk,6,Bridgend County Borough Council Adults and Children's Services,6,,6,Jane Lewis,,,2018-09-21,SIN-00009507-GGML,51.533072,-3.686303
Breaksea Care Home,Care Home Service,Adults Without Nursing,Breaksea Residential Home,The Square,Porthcawl,CF36 3BW,Bridgend,01656771022,breakseacare@hotmail.com,32,breaksea residential homes ltd,2,04117189,2,Marcus Rossini,,English,2019-05-29,SIN-00009951-VBRM,51.47605,-3.703136
Bridgend County Borough Council Domiciliary Care Services,Domiciliary Support Service,,Bridgend County Borough Council,Civic Offices,Bridgend,CF31 4WB,Bridgend,01656815011,firstcontactteam@bridgend.gov.uk,0,Bridgend County Borough Council Adults and Children's Services,6,,7,Jane Lewis,,,2018-09-21,SIN-00009508-PRND,51.505807,-3.580425
Bryn Y Cae Residential Services for older people,Care Home Service,Adults Without Nursing,Cae Bracla,Brackla,Bridgend,CF31 2HF,Bridgend,01656815545,psbrynycaehfe@bridgend.gov.uk,37,Bridgend County Borough Council Adults and Children's Services,6,,4,Jane Lewis,,,2018-09-21,SIN-00009503-WVBD,51.509076,-3.561904
Bryntirion,Care Home Service,Adults Without Nursing,Bryntirion,Hendre Road,Bridgend,CF35 6PU,Bridgend,01656378041,olu.fabusuyi@orbis-group.co.uk,4,Orbis Education and Care Limited,8,05521347,4,Olubunmi Fabusuyi,,English,2018-07-24,SIN-00015831-FMYH,51.527289,-3.524785
Claremont Care Home,Care Home Service,Adults Without Nursing,30 Ewenny Road,,Bridgend,CF31 3HR,Bridgend,01656766495,liamgeorge23@aol.com,21,Claremont Partnership,1,,1,Liam George,,English,2018-10-01,SIN-00009704-BGRH,51.500433,-3.576133
Comfort crew homecare Ltd,Domiciliary Support Service,,Suit 4,Number One,Bridgend,CF31 3PH,Bridgend,01291441451,shinto@comfortcrew.org.uk,0,comfort crew home care ltd,1,16324514,1,shinto vattukalathil varghese,,,2025-10-09,SIN-00015742-HYCD,51.493204,-3.549031
