Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Augusta House,Care Home Service,Adults Without Nursing,Learning Disability Services,Augusta House,Ebbw Vale,NP23 8DN,Blaenau Gwent,01495305805,helen.beecham@blaenau-gwent.gov.uk,8,Blaenau Gwent County Borough Council Adults and Children's Services,3,,4,Sarah Savage,,English,2018-09-17,SIN-00009290-HBCJ,51.753585,-3.196105
Bedwellty Park Residential Home Limited,Care Home Service,Adults Without Nursing,Bedwellty Park Residential Home,Morgan Street,Tredegar,NP22 3NA,Blaenau Gwent,01495711788,bedwelltyparkcarehome@yahoo.com,13,Bedwellty Park Residential Home Limited,1,08046288,1,Darren Pomphrey,,English,2018-07-09,SIN-00008673-GBRD,51.770816,-3.244387
Bridge House,Care Home Service,Adults Without Nursing,Bridge House Residential Home,Beulah Place,Ebbw Vale,NP23 6ET,Blaenau Gwent,01495 306837,sarah.bromley@bridgehouse.wales,36,Brecon Care,2,02759041,1,Lisa Griffiths,,English,2018-07-11,SIN-00013155-KBPR,51.781815,-3.207984
Central Surgery Nursing Home Limited,Care Home Service,Adults With Nursing,Eden Hall,Church Street,Tredegar,NP22 3DX,Blaenau Gwent,07799452817,centralsurgergerynursing@yahoo.com,14,Central Surgery Nursing Home limited,1,11822397,1,Darren Pomphrey,,,2024-03-22,SIN-00014355-LKGC,51.77713,-3.24588
Chilton Place,Care Home Service,Adults Without Nursing,14 Alma Street,Brynmawr,Ebbw Vale,NP23 4DZ,Blaenau Gwent,01495313673,vickyjenkins@glaslyncarehomes.co.uk,24,Glaslyn Retirement Homes Limited,2,02113534,2,Ingrid James Wright,,English,2018-09-19,SIN-00009070-WRBJ,51.799932,-3.170645
Cwm Coed,Care Home Service,Adults Without Nursing,Cwm Coed,Cwm Road,Abertillery,NP13 2BG,Blaenau Gwent,01495244388,riverwoodhousingltd@yahoo.co.uk,4,Riverwood Housing Ltd,3,06525310,3,Rebecca Hemmings,,English,2018-07-09,SIN-00008786-QBXK,51.710528,-3.150606
Forest View,Care Home Service,Adults Without Nursing,Forest View,Roch Street,Abertillery,NP13 1HF,Blaenau Gwent,01495321980,riverwoodhousingltd@yahoo.co.uk,3,Riverwood Housing Ltd,3,06525310,1,Rebecca Hemmings,,English,2018-07-09,SIN-00008784-JLPY,51.734772,-3.127154
Pen -Y- Bont Care Home,Care Home Service,Adults With Nursing,Victoria Street,,Abertillery,NP13 1PG,Blaenau Gwent,01495320444,lisa@caramgroup.co.uk,41,Brecon Care,2,02759041,2,Lisa Griffiths,,English,2018-07-11,SIN-00009011-CHSC,51.735458,-3.138133
Pride in Care ltd Glandovery house,Care Home Service,Adults Without Nursing,Glandovey House,Oliver Jones Crescent,Tredegar,NP22 3BJ,Blaenau Gwent,01495221666,nigel@prideincare.com,5,pride in care ltd,4,08251805,2,Nigel Hobbs,,English,2018-10-10,SIN-00013332-NNKF,51.77337,-3.250328
Red Rose Care Home,Care Home Service,Adults With Nursing,Red Rose Nursing Home,Park Road Victoria,Ebbw Vale,NP23 8UP,Blaenau Gwent,01495352559,banyancarehomes@hotmail.com,32,BANYAN CARE HOMES 2 LIMITED,1,13570649,1,Shahnawaz Seehootoorah,,English,2022-07-12,SIN-00013113-SWVV,51.76324,-3.204243
